title,year,creator,tags,summary,url,thumbnail
"20,000 Leagues Under the Sea",1916,"Carl Laemmle, Stuart Paton",Silent | Drama,"The Universal Film Manufacturing Company was not known in the silent era as premier producer of motion pictures. Yet, in 1916 they produced a film that could not be made effectively without expensive special effects and special…",https://archive.org/details/20000LeaguesUndertheSea,https://archive.org/services/img/20000LeaguesUndertheSea
The House On Haunted Hill,1959,William Castle,Vincent Price | haunted house | horror | William Castle,"Vincent Price gives a stellar performance as the suavely malevolent host of a ""haunted house party"" who offers his guests $10,000 if they can survive a night in the murderous mansion. Watch for the great Elisha Cook Jr,(he played Wilmer in…",https://archive.org/details/House_On_Haunted_Hill.avi,https://archive.org/services/img/House_On_Haunted_Hill.avi
Invasion of the Bee girls,,,horror | scifi | feature films,"This one's about strange women who love their men to death, literally! Maybe the fact that there's a research facility doing top secret experiments might have something to do with the suspicious deaths.",https://archive.org/details/InvasionOfTheBeeGirls,https://archive.org/services/img/InvasionOfTheBeeGirls
The Lost World,1925,Jamie White,adventure | fantasy,The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.You can find more information regarding this film on its IMDb page .,https://archive.org/details/lost_world,https://archive.org/services/img/lost_world
Grave of the Vampire,1974,,vampire | William Smith | Michael Pataki | Lyn Peters,"William Smith tracks down his father, a vampire who raped his mother. The IMDB entry is here . The mpeg2 file has nav-packets, so you can load it into DVDAuthorGUI (a free program) to create a DVD to watch on your television.",https://archive.org/details/Grave_of_the_Vampire_movie,https://archive.org/services/img/Grave_of_the_Vampire_movie
New Adventures of Tarzan,,,,,https://archive.org/details/new_adventures_of_tarzan,https://archive.org/services/img/new_adventures_of_tarzan
Killers From Space,1954,,Science Fiction,Attack by monsters from another planet! IMDB page,https://archive.org/details/Killers_from_space,https://archive.org/services/img/Killers_from_space
Das Kabinett des Doktor Caligari ( The Cabinet of Dr. Caligari ),1919,Rudolf Meinert and Erich Pommer,Silent | Fantasy | Horror | German Expressionism,The Cabinet of Dr. Caligari is the first modern Horror Film and it influence a number of contemporary productions. A real classic! PLOT: A man named Francis relates a story about his best friend Alan and his fiancée Jane. Alan takes him to…,https://archive.org/details/DasKabinettdesDoktorCaligariTheCabinetofDrCaligari,https://archive.org/services/img/DasKabinettdesDoktorCaligariTheCabinetofDrCaligari
As You Like It,1936,"Paul Czinner, Joseph M. Schenck",Drama | Comedy | Romance | Elisabeth Bergner | Laurence Olivier,"In this first film version of William Shakespeare's classic pastoral comedy, Sir Laurence Olivier stars as Orlando while Elisabeth Bergner is Rosalind, his secret admirer who disguises herself as a boy in order to stay near to him. Nearly…",https://archive.org/details/AsYouLikeIt1936,https://archive.org/services/img/AsYouLikeIt1936
Royal Wedding,1951,Arthur Freed,musical | comedy | dance,"Brother and sister dancing duo Tom and Ellen Bowen (Fred Astaire and Jane Powell) travel to merry old England. There, against the backdrop of the impending wedding of royals, they go about the usual comedic pursuit of love. This film is…",https://archive.org/details/royal_wedding,https://archive.org/services/img/royal_wedding
